Exercise ID,Name,GIF URL,Instructions,Target Muscles,Body Parts,Equipments,Secondary Muscles
dK9394r,burpee,https://cdn-exercisedb.vercel.app/api/v1/images/dK9394r.gif,"Step:1 Start in a standing position with your feet shoulder-width apart. Step:2 Lower your body into a squat position by bending your knees and placing your hands on the floor in front of you. Step:3 Kick your feet back into a push-up position. Step:4 Perform a push-up, keeping your body in a straight line. Step:5 Jump your feet back into the squat position. Step:6 Jump up explosively, reaching your arms overhead. Step:7 Land softly and immediately lower back into a squat position to begin the next repetition.",cardiovascular system,cardio,bodyweight,"quadriceps, hamstrings, calves, shoulders, chest"
qcNN2FN,butt-ups,https://cdn-exercisedb.vercel.app/api/v1/images/qcNN2FN.gif,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground. Step:2 Place your hands by your sides, palms facing down. Step:3 Engaging your abs, lift your legs off the ground, bringing your knees towards your chest. Step:4 At the top of the movement, squeeze your abs and pause for a moment. Step:5 Slowly lower your legs back down to the starting position. Step:6 Repeat for the desired number of repetitions.",abs,waist,bodyweight,"hip flexors, lower back"
bWlZvXh,butterfly yoga pose,https://cdn-exercisedb.vercel.app/api/v1/images/bWlZvXh.gif,"Step:1 Sit on the floor with your legs extended in front of you. Step:2 Bend your knees and bring the soles of your feet together, allowing your knees to fall out to the sides. Step:3 Hold onto your ankles or feet with your hands. Step:4 Sit up tall and lengthen your spine. Step:5 Gently press your knees down towards the floor, feeling a stretch in your inner thighs. Step:6 Hold this position for a few breaths. Step:7 To release, slowly bring your knees back up and extend your legs.",adductors,upper legs,bodyweight,"hamstrings, groin"
KHPZL0b,cable alternate shoulder press,https://cdn-exercisedb.vercel.app/api/v1/images/KHPZL0b.gif,"Step:1 Stand with your feet shoulder-width apart and grasp the handles of the cable machine with an overhand grip. Step:2 Position your hands at shoulder height, with your palms facing forward. Step:3 Keep your core engaged and your back straight. Step:4 Press one handle up and forward until your arm is fully extended. Step:5 Pause for a moment at the top, then slowly lower the handle back to the starting position. Step:6 Repeat with the other arm. Step:7 Alternate between arms for the desired number of repetitions.",delts,shoulders,cable,"triceps, upper back"
Gchi5Tr,cable alternate triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/Gchi5Tr.gif,"Step:1 Stand facing the cable machine with your feet shoulder-width apart. Step:2 Hold the cable handle with your right hand and bring your arm up so that your upper arm is parallel to the ground and your elbow is bent at a 90-degree angle. Step:3 Keep your upper arm stationary and extend your forearm backward, fully straightening your arm. Step:4 Pause for a moment, then slowly return to the starting position. Step:5 Repeat with your left arm. Step:6 Continue alternating arms for the desired number of repetitions.",triceps,upper arms,cable,shoulders
zHEpuuc,cable assisted inverse leg curl,https://cdn-exercisedb.vercel.app/api/v1/images/zHEpuuc.gif,"Step:1 Adjust the cable machine so that the ankle attachment is at the lowest setting. Step:2 Lie face down on the bench with your legs straight and the ankle attachment secured to your ankles. Step:3 Hold onto the handles of the bench for stability. Step:4 Keeping your upper body stationary, exhale and curl your legs up towards your glutes by flexing your knees. Step:5 Pause for a moment at the top of the movement, squeezing your hamstrings. Step:6 Inhale and slowly lower your legs back to the starting position. Step:7 Repeat for the desired number of repetitions.",hamstrings,upper legs,cable,"glutes, calves"
eYnzaCm,cable bar lateral pulldown,https://cdn-exercisedb.vercel.app/api/v1/images/eYnzaCm.gif,"Step:1 Adjust the cable pulley to a high position and attach a straight bar. Step:2 Sit facing the cable machine with your feet flat on the ground and your knees slightly bent. Step:3 Grasp the bar with an overhand grip, slightly wider than shoulder-width apart. Step:4 Lean back slightly and keep your chest up, maintaining a slight arch in your lower back. Step:5 Pull the bar down towards your chest, leading with your elbows and squeezing your shoulder blades together. Step:6 Pause for a moment at the bottom of the movement, then slowly return the bar to the starting position. Step:7 Repeat for the desired number of repetitions.",lats,back,cable,"biceps, rhomboids, rear deltoids"
7xI5MXA,cable bench press,https://cdn-exercisedb.vercel.app/api/v1/images/7xI5MXA.gif,"Step:1 Adjust the cable machine to chest height and attach the handles. Step:2 Stand facing away from the machine with your feet shoulder-width apart. Step:3 Grasp the handles with an overhand grip and step forward to create tension in the cables. Step:4 Position your feet firmly on the ground and engage your core. Step:5 Bend your elbows and bring your hands to shoulder level, keeping your elbows at a 90-degree angle. Step:6 Push the handles forward, extending your arms fully in front of you. Step:7 Pause for a moment, then slowly reverse the movement, bringing your hands back to shoulder level. Step:8 Repeat for the desired number of repetitions.",pectorals,chest,cable,"triceps, shoulders"
BCGQ6J5,cable close grip curl,https://cdn-exercisedb.vercel.app/api/v1/images/BCGQ6J5.gif,"Step:1 Attach a straight bar to a low pulley cable machine. Step:2 Stand facing the machine with your feet shoulder-width apart and your knees slightly bent. Step:3 Grasp the bar with an underhand grip, hands shoulder-width apart. Step:4 Keep your elbows close to your sides and your upper arms stationary throughout the exercise. Step:5 Exhale and curl the bar up towards your shoulders, contracting your biceps. Step:6 Pause for a moment at the top of the movement, squeezing your biceps. Step:7 Inhale and slowly lower the bar back to the starting position, fully extending your arms. Step:8 Repeat for the desired number of repetitions.",biceps,upper arms,cable,forearms
NvfE43H,cable concentration curl,https://cdn-exercisedb.vercel.app/api/v1/images/NvfE43H.gif,"Step:1 Sit on a bench or chair with your feet flat on the floor and your knees slightly bent. Step:2 Hold the cable handle with an underhand grip and rest your elbow against the inside of your thigh. Step:3 Keeping your upper arm stationary, exhale and curl the cable handle towards your shoulder while contracting your biceps. Step:4 Pause for a moment at the top of the movement, then inhale and slowly lower the cable handle back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",biceps,upper arms,cable,forearms
Db7eEgw,cable concentration extension (on knee),https://cdn-exercisedb.vercel.app/api/v1/images/Db7eEgw.gif,"Step:1 Sit on a bench or chair with your knees bent and feet flat on the ground. Step:2 Hold the cable handle with your right hand and place your elbow on the inside of your right knee. Step:3 Extend your arm fully, keeping your elbow stationary and close to your knee. Step:4 Pause for a moment at the top, then slowly lower your arm back to the starting position. Step:5 Repeat for the desired number of repetitions, then switch sides.",triceps,upper arms,cable,forearms
OQ1otBN,cable cross-over lateral pulldown,https://cdn-exercisedb.vercel.app/api/v1/images/OQ1otBN.gif,"Step:1 Attach a cable handle to each side of a cable machine at shoulder height. Step:2 Stand in the middle of the machine with your feet shoulder-width apart. Step:3 Grasp the handles with an overhand grip and step back to create tension in the cables. Step:4 Lean forward slightly from the hips, keeping your back straight and your chest up. Step:5 Pull the handles down and across your body, squeezing your shoulder blades together. Step:6 Pause for a moment at the bottom of the movement, then slowly return to the starting position. Step:7 Repeat for the desired number of repetitions.",lats,back,cable,"biceps, rhomboids, rear deltoids"
aqvSOQE,cable cross-over revers fly,https://cdn-exercisedb.vercel.app/api/v1/images/aqvSOQE.gif,"Step:1 Attach a D-handle to each low pulley cable and stand in the middle of the cable crossover machine. Step:2 Grasp the handles with a pronated grip (palms facing down) and take a step forward, positioning your feet shoulder-width apart. Step:3 Bend your knees slightly and lean forward at the waist, keeping your back straight and your abs engaged. Step:4 With your arms extended out to the sides and slightly bent at the elbows, exhale and squeeze your shoulder blades together as you pull the cables back and upward in a reverse fly motion. Step:5 Pause for a moment at the peak contraction, then inhale and slowly return to the starting position. Step:6 Repeat for the desired number of repetitions.",delts,shoulders,cable,"rhomboids, trapezius"
0CXGHya,cable cross-over variation,https://cdn-exercisedb.vercel.app/api/v1/images/0CXGHya.gif,"Step:1 Adjust the cable pulleys to chest height. Step:2 Stand in the center of the cable machine with one foot in front of the other. Step:3 Grasp the handles with your palms facing down and your arms extended out to the sides. Step:4 Take a step forward, keeping your arms slightly bent. Step:5 With a slight bend in your elbows, bring your hands together in front of your chest. Step:6 Pause for a moment, then slowly return your arms back to the starting position. Step:7 Repeat for the desired number of repetitions.",pectorals,chest,cable,"deltoids, triceps"
G08RZcQ,cable curl,https://cdn-exercisedb.vercel.app/api/v1/images/G08RZcQ.gif,"Step:1 Stand facing the cable machine with your feet shoulder-width apart. Step:2 Grasp the cable attachment with an underhand grip, palms facing up. Step:3 Keep your elbows close to your sides and your upper arms stationary. Step:4 Exhale and curl the cable attachment towards your shoulders, contracting your biceps. Step:5 Pause for a moment at the top of the movement, squeezing your biceps. Step:6 Inhale and slowly lower the cable attachment back to the starting position. Step:7 Repeat for the desired number of repetitions.",biceps,upper arms,cable,forearms
eGDudUV,cable deadlift,https://cdn-exercisedb.vercel.app/api/v1/images/eGDudUV.gif,"Step:1 Stand facing the cable machine with your feet shoulder-width apart. Step:2 Bend at the hips and knees, lowering your torso until your back is parallel to the ground. Step:3 Grasp the cable handles with an overhand grip, keeping your arms straight and your shoulders back. Step:4 Engage your glutes and hamstrings to lift the cable handles, extending your hips and standing up straight. Step:5 Pause for a moment at the top, then slowly lower the cable handles back down to the starting position. Step:6 Repeat for the desired number of repetitions.",glutes,upper legs,cable,"hamstrings, quadriceps, lower back"
7saC5zz,cable decline fly,https://cdn-exercisedb.vercel.app/api/v1/images/7saC5zz.gif,"Step:1 Adjust the cable machine to a decline position. Step:2 Stand facing away from the machine with your feet shoulder-width apart. Step:3 Hold the handles with your palms facing forward and your arms extended straight out in front of you. Step:4 Keeping a slight bend in your elbows, open your arms out to the sides in a controlled motion. Step:5 Pause for a moment at the fully extended position, then slowly return to the starting position. Step:6 Repeat for the desired number of repetitions.",pectorals,chest,cable,"shoulders, triceps"
KHGNa16,cable decline one arm press,https://cdn-exercisedb.vercel.app/api/v1/images/KHGNa16.gif,"Step:1 Adjust the cable machine to a decline position. Step:2 Stand facing away from the machine and grab the handle with one hand. Step:3 Position yourself with your back against the decline bench and your arm extended straight in front of you. Step:4 Bend your elbow and lower the handle towards your chest while keeping your upper arm stationary. Step:5 Pause for a moment at the bottom, then push the handle back up to the starting position. Step:6 Repeat for the desired number of repetitions, then switch arms.",pectorals,chest,cable,"triceps, shoulders"
2Pya1cP,cable decline press,https://cdn-exercisedb.vercel.app/api/v1/images/2Pya1cP.gif,"Step:1 Adjust the cable machine to a decline position. Step:2 Sit on the decline bench facing the cable machine. Step:3 Grasp the handles with an overhand grip and position them at chest level. Step:4 Keep your feet flat on the ground and your back firmly against the bench. Step:5 Exhale and push the handles away from your body, extending your arms fully. Step:6 Pause for a moment at the end of the movement, squeezing your chest muscles. Step:7 Inhale and slowly return the handles back to the starting position. Step:8 Repeat for the desired number of repetitions.",pectorals,chest,cable,"triceps, shoulders"
kesXOpB,cable decline seated wide-grip row,https://cdn-exercisedb.vercel.app/api/v1/images/kesXOpB.gif,"Step:1 Sit on the decline bench facing the cable machine with your feet securely placed on the footrests. Step:2 Grasp the cable attachment with a wide overhand grip, palms facing down. Step:3 Lean back slightly, keeping your back straight and your core engaged. Step:4 Pull the cable towards your lower chest, squeezing your shoulder blades together. Step:5 Pause for a moment at the peak of the contraction, then slowly release the cable back to the starting position. Step:6 Repeat for the desired number of repetitions.",upper back,back,cable,"biceps, forearms"
dXz8zjF,cable drag curl,https://cdn-exercisedb.vercel.app/api/v1/images/dXz8zjF.gif,"Step:1 Stand facing a cable machine with your feet shoulder-width apart. Step:2 Grasp the cable attachment with an underhand grip, palms facing up, and arms fully extended. Step:3 Keeping your upper arms stationary, exhale and curl the cable attachment towards your shoulders by contracting your biceps. Step:4 Pause for a moment at the top of the movement, squeezing your biceps. Step:5 Inhale and slowly lower the cable attachment back to the starting position, fully extending your arms. Step:6 Repeat for the desired number of repetitions.",biceps,upper arms,cable,forearms
veXwo0D,cable floor seated wide-grip row,https://cdn-exercisedb.vercel.app/api/v1/images/veXwo0D.gif,"Step:1 Sit on the floor with your legs extended and your back straight. Step:2 Attach a cable handle to a low pulley and position the cable machine behind you. Step:3 Grasp the handle with a wide overhand grip, palms facing down. Step:4 Lean back slightly, keeping your back straight and your chest lifted. Step:5 Pull the handle towards your waist, squeezing your shoulder blades together. Step:6 Pause for a moment at the top of the movement, then slowly release the handle back to the starting position. Step:7 Repeat for the desired number of repetitions.",upper back,back,cable,"biceps, forearms"
hvHhCv8,cable forward raise,https://cdn-exercisedb.vercel.app/api/v1/images/hvHhCv8.gif,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. Step:2 Hold the cable handle with an overhand grip, palms facing down, and your arms fully extended in front of you. Step:3 Keeping your arms straight, raise the cable handle up to shoulder level. Step:4 Pause for a moment at the top, then slowly lower the cable handle back down to the starting position. Step:5 Repeat for the desired number of repetitions.",delts,shoulders,cable,"triceps, forearms"
u2X71Np,cable front raise,https://cdn-exercisedb.vercel.app/api/v1/images/u2X71Np.gif,"Step:1 Stand with your feet shoulder-width apart and grasp the cable handle with an overhand grip. Step:2 Keep your back straight and your core engaged. Step:3 Raise the cable handle in front of you, keeping your arms straight and your palms facing down. Step:4 Continue lifting until your arms are parallel to the floor. Step:5 Pause for a moment at the top, then slowly lower the cable handle back to the starting position. Step:6 Repeat for the desired number of repetitions.",delts,shoulders,cable,"triceps, forearms"
mTT3KLn,cable front shoulder raise,https://cdn-exercisedb.vercel.app/api/v1/images/mTT3KLn.gif,"Step:1 Stand with your feet shoulder-width apart and grasp the cable handle with an overhand grip. Step:2 Keep your back straight and your core engaged. Step:3 Raise the cable handle in front of you, keeping your arms straight and your palms facing down. Step:4 Continue lifting until your arms are parallel to the floor. Step:5 Pause for a moment at the top, then slowly lower the cable handle back to the starting position. Step:6 Repeat for the desired number of repetitions.",delts,shoulders,cable,"trapezius, biceps"
HPlPoQA,cable hammer curl (with rope),https://cdn-exercisedb.vercel.app/api/v1/images/HPlPoQA.gif,"Step:1 Stand upright with your feet shoulder-width apart and a slight bend in your knees. Step:2 Hold the cable rope attachment with an underhand grip, palms facing each other, and your arms fully extended. Step:3 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Step:4 Continue to raise the cable rope attachment until your biceps are fully contracted and the rope is at shoulder level. Step:5 Hold the contracted position for a brief pause as you squeeze your biceps. Step:6 Inhale and slowly begin to lower the cable rope attachment back to the starting position. Step:7 Repeat for the desired number of repetitions.",biceps,upper arms,cable,forearms
1xHyxys,cable high pulley overhead tricep extension,https://cdn-exercisedb.vercel.app/api/v1/images/1xHyxys.gif,"Step:1 Attach a rope to a high pulley and stand facing away from the machine. Step:2 Grasp the rope with both hands and extend your arms overhead. Step:3 Keep your elbows close to your head and your upper arms stationary. Step:4 Slowly lower the rope behind your head by bending your elbows. Step:5 Pause for a moment, then extend your arms back to the starting position. Step:6 Repeat for the desired number of repetitions.",triceps,upper arms,cable,shoulders
ZSJNetl,cable high row (kneeling),https://cdn-exercisedb.vercel.app/api/v1/images/ZSJNetl.gif,"Step:1 Attach a straight bar to a cable machine at chest height. Step:2 Kneel down in front of the cable machine and grab the bar with an overhand grip, hands shoulder-width apart. Step:3 Sit back on your heels, keeping your back straight and your core engaged. Step:4 Pull the bar towards your upper abdomen, squeezing your shoulder blades together. Step:5 Pause for a moment at the top of the movement, then slowly release the bar back to the starting position. Step:6 Repeat for the desired number of repetitions.",upper back,back,cable,"biceps, shoulders"
hBGWILP,cable hip adduction,https://cdn-exercisedb.vercel.app/api/v1/images/hBGWILP.gif,"Step:1 Attach the ankle cuff to your ankle and stand facing the cable machine. Step:2 Position yourself far enough away from the machine so that there is tension on the cable. Step:3 Place your hands on the machine for support. Step:4 Keeping your leg straight, slowly move your leg across your body towards the midline. Step:5 Pause for a moment at the end of the movement, then slowly return to the starting position. Step:6 Repeat for the desired number of repetitions.",adductors,upper legs,cable,"glutes, quadriceps"
Vh0GsK4,cable incline bench press,https://cdn-exercisedb.vercel.app/api/v1/images/Vh0GsK4.gif,"Step:1 Adjust the bench to a 45-degree incline. Step:2 Attach the cable handles to the high pulleys. Step:3 Sit on the bench facing the cable machine with your feet flat on the ground. Step:4 Grasp the handles with an overhand grip and bring them to shoulder height. Step:5 Push the handles forward and upward until your arms are fully extended. Step:6 Pause for a moment, then slowly lower the handles back to the starting position. Step:7 Repeat for the desired number of repetitions.",pectorals,chest,cable,"deltoids, triceps"
yaMIo4D,cable incline bench row,https://cdn-exercisedb.vercel.app/api/v1/images/yaMIo4D.gif,"Step:1 Set up an incline bench at a 45-degree angle and attach a cable handle to the low pulley. Step:2 Sit on the bench facing the cable machine with your feet flat on the floor and your knees slightly bent. Step:3 Grasp the cable handle with an overhand grip and extend your arms fully in front of you. Step:4 Lean forward from your hips while keeping your back straight and your core engaged. Step:5 Pull the cable handle towards your chest by retracting your shoulder blades and bending your elbows. Step:6 Squeeze your back muscles at the top of the movement, then slowly extend your arms back to the starting position. Step:7 Repeat for the desired number of repetitions.",upper back,back,cable,"biceps, rear deltoids"
tBWXbIT,cable incline fly,https://cdn-exercisedb.vercel.app/api/v1/images/tBWXbIT.gif,"Step:1 Adjust the cable machine to a low position and attach the handles. Step:2 Sit on an incline bench with your back against the pad and feet flat on the floor. Step:3 Grasp the handles with an overhand grip and extend your arms straight out in front of you. Step:4 Keeping a slight bend in your elbows, open your arms out to the sides in a controlled motion. Step:5 Pause for a moment at the fully extended position, then slowly return to the starting position. Step:6 Repeat for the desired number of repetitions.",pectorals,chest,cable,"deltoids, triceps"
27NNGFr,cable incline fly (on stability ball),https://cdn-exercisedb.vercel.app/api/v1/images/27NNGFr.gif,"Step:1 Set up a stability ball at an incline angle. Step:2 Attach the cable handles to the high pulleys of a cable machine. Step:3 Sit on the stability ball facing away from the machine, with your feet firmly planted on the ground. Step:4 Grasp the cable handles with an overhand grip, palms facing forward. Step:5 Lean forward slightly, keeping your back straight and core engaged. Step:6 With a controlled motion, bring your arms out to the sides, keeping a slight bend in your elbows. Step:7 Continue the motion until your arms are parallel to the ground. Step:8 Pause for a moment, then slowly return to the starting position. Step:9 Repeat for the desired number of repetitions.",pectorals,chest,cable,"deltoids, triceps"
1PK5Uo3,cable incline pushdown,https://cdn-exercisedb.vercel.app/api/v1/images/1PK5Uo3.gif,"Step:1 Attach a straight bar to a high pulley cable machine. Step:2 Stand facing away from the machine with your feet shoulder-width apart. Step:3 Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart. Step:4 Lean forward slightly and keep your back straight. Step:5 Pull the bar down towards your thighs by extending your elbows. Step:6 Pause for a moment at the bottom, then slowly return the bar to the starting position. Step:7 Repeat for the desired number of repetitions.",lats,back,cable,"triceps, shoulders"
Hx1WC8I,cable incline triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/Hx1WC8I.gif,"Step:1 Adjust the cable machine to a low pulley position. Step:2 Attach a straight bar to the cable. Step:3 Stand facing away from the machine with your feet shoulder-width apart. Step:4 Grasp the bar with an overhand grip and extend your arms straight overhead. Step:5 Lean forward slightly, keeping your back straight and core engaged. Step:6 Bend your elbows and lower the bar behind your head, keeping your upper arms close to your ears. Step:7 Pause for a moment, then extend your arms back to the starting position. Step:8 Repeat for the desired number of repetitions.",triceps,upper arms,cable,shoulders
MvQPqVW,cable judo flip,https://cdn-exercisedb.vercel.app/api/v1/images/MvQPqVW.gif,"Step:1 Stand facing the cable machine with your feet shoulder-width apart. Step:2 Hold the cable handle with both hands at chest level, palms facing down. Step:3 Engage your core and rotate your torso to the right, pulling the cable across your body. Step:4 As you rotate, pivot your back foot and allow your hips to rotate naturally. Step:5 Extend your arms fully and finish the movement by flipping the cable handle over your shoulder. Step:6 Return to the starting position by reversing the movement, rotating your torso back to the center. Step:7 Repeat the movement on the opposite side. Step:8 Continue alternating sides for the desired number of repetitions.",abs,waist,cable,"obliques, shoulders"
HEJ6DIX,cable kickback,https://cdn-exercisedb.vercel.app/api/v1/images/HEJ6DIX.gif,"Step:1 Stand facing a cable machine with your feet shoulder-width apart. Step:2 Hold the cable handle with your right hand and step back to create tension in the cable. Step:3 Bend your knees slightly and hinge forward at the hips, keeping your back straight. Step:4 Keep your upper arm close to your body and your elbow bent at a 90-degree angle. Step:5 Extend your forearm backward, straightening your arm fully. Step:6 Pause for a moment, then slowly return to the starting position. Step:7 Repeat for the desired number of repetitions, then switch sides.",triceps,upper arms,cable,shoulders
WW95auq,cable kneeling crunch,https://cdn-exercisedb.vercel.app/api/v1/images/WW95auq.gif,"Step:1 Attach a rope handle to a high pulley and kneel down facing away from the machine. Step:2 Hold the rope handle with both hands and place it behind your head, keeping your elbows out to the sides. Step:3 Keeping your hips stationary, flex your waist and crunch your torso down towards your thighs. Step:4 Pause for a moment at the bottom, then slowly return to the starting position. Step:5 Repeat for the desired number of repetitions.",abs,waist,cable,obliques
G61cXLk,cable kneeling rear delt row (with rope) (male),https://cdn-exercisedb.vercel.app/api/v1/images/G61cXLk.gif,"Step:1 Attach a rope handle to a low cable pulley and kneel down facing the machine. Step:2 Grasp the rope with a neutral grip (palms facing each other) and extend your arms fully in front of you. Step:3 Keeping your back straight and core engaged, pull the rope towards your body by retracting your shoulder blades. Step:4 Squeeze your shoulder blades together at the end of the movement and hold for a brief pause. Step:5 Slowly release the tension and return to the starting position. Step:6 Repeat for the desired number of repetitions.",delts,shoulders,cable,"trapezius, rhomboids, biceps"
KWdF2JI,cable kneeling triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/KWdF2JI.gif,"Step:1 Attach a rope handle to a high pulley and kneel down facing the cable machine. Step:2 Grasp the rope with a neutral grip (palms facing each other) and bring your hands to the sides of your head. Step:3 Keep your elbows close to your head and your upper arms stationary throughout the exercise. Step:4 Extend your forearms by contracting your triceps until your arms are fully extended. Step:5 Pause for a moment, then slowly return to the starting position by bending your elbows. Step:6 Repeat for the desired number of repetitions.",triceps,upper arms,cable,shoulders
LEprlgG,cable lat pulldown full range of motion,https://cdn-exercisedb.vercel.app/api/v1/images/LEprlgG.gif,"Step:1 Sit on the lat pulldown machine with your knees positioned under the pads. Step:2 Grasp the cable bar with an overhand grip, slightly wider than shoulder-width apart. Step:3 Lean back slightly and keep your chest up, maintaining a slight arch in your lower back. Step:4 Pull the bar down towards your upper chest, squeezing your shoulder blades together. Step:5 Pause for a moment at the bottom of the movement, then slowly release the bar back to the starting position. Step:6 Repeat for the desired number of repetitions.",lats,back,cable,"biceps, rhomboids, rear deltoids"
CuaWCmC,cable lateral pulldown (with rope attachment),https://cdn-exercisedb.vercel.app/api/v1/images/CuaWCmC.gif,"Step:1 Attach a rope attachment to the cable machine at a high position. Step:2 Stand facing the machine with your feet shoulder-width apart. Step:3 Grasp the rope with an overhand grip, palms facing each other. Step:4 Keep your back straight and lean slightly back. Step:5 Pull the rope down towards your sides, squeezing your shoulder blades together. Step:6 Pause for a moment at the bottom of the movement. Step:7 Slowly release the tension and allow the rope to return to the starting position. Step:8 Repeat for the desired number of repetitions.",lats,back,cable,"biceps, forearms"
4c9BhzB,cable lateral pulldown with v-bar,https://cdn-exercisedb.vercel.app/api/v1/images/4c9BhzB.gif,Step:1 Sit down on the cable pulldown machine and grab the v-bar attachment with an overhand grip. Step:2 Adjust the knee pad so that your thighs are secured under it. Step:3 Keep your back straight and lean back slightly. Step:4 Pull the v-bar down towards your upper chest while keeping your elbows close to your body. Step:5 Squeeze your back muscles at the bottom of the movement. Step:6 Slowly return the v-bar to the starting position and repeat for the desired number of repetitions.,lats,back,cable,"biceps, forearms"
goJ6ezq,cable lateral raise,https://cdn-exercisedb.vercel.app/api/v1/images/goJ6ezq.gif,"Step:1 Stand with your feet shoulder-width apart and grasp the cable handles with an overhand grip. Step:2 Keep your arms straight and your core engaged. Step:3 Raise your arms out to the sides until they are parallel to the floor. Step:4 Pause for a moment at the top, then slowly lower your arms back down to the starting position. Step:5 Repeat for the desired number of repetitions.",delts,shoulders,cable,"traps, triceps"
FVmZVhk,cable low fly,https://cdn-exercisedb.vercel.app/api/v1/images/FVmZVhk.gif,"Step:1 Attach the handles to the low pulleys of a cable machine and select an appropriate weight. Step:2 Stand in the middle of the machine with your feet shoulder-width apart and a slight bend in your knees. Step:3 Grasp the handles with an overhand grip and extend your arms out to the sides, keeping a slight bend in your elbows. Step:4 Maintaining control, slowly bring your arms forward in a sweeping motion, crossing them in front of your body. Step:5 Pause for a moment at the peak of the movement, feeling the stretch in your chest muscles. Step:6 Reverse the motion and slowly return your arms to the starting position, keeping tension on your chest muscles throughout. Step:7 Repeat for the desired number of repetitions.",pectorals,chest,cable,"deltoids, triceps"
hvV79Si,cable low seated row,https://cdn-exercisedb.vercel.app/api/v1/images/hvV79Si.gif,"Step:1 Sit on the machine with your feet flat on the footrests and your knees slightly bent. Step:2 Grasp the handles with an overhand grip, palms facing down. Step:3 Keep your back straight and lean slightly forward, maintaining a slight bend in your elbows. Step:4 Pull the handles towards your body, squeezing your shoulder blades together. Step:5 Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. Step:6 Repeat for the desired number of repetitions.",upper back,back,cable,"biceps, forearms"
otqIxU4,cable lying bicep curl,https://cdn-exercisedb.vercel.app/api/v1/images/otqIxU4.gif,"Step:1 Attach a straight bar to a low pulley cable machine. Step:2 Lie face up on a flat bench with your feet flat on the ground. Step:3 Grasp the bar with an underhand grip, hands shoulder-width apart. Step:4 Extend your arms fully, keeping your elbows close to your sides. Step:5 Keeping your upper arms stationary, exhale and curl the bar up towards your shoulders. Step:6 Pause for a moment at the top, squeezing your biceps. Step:7 Inhale and slowly lower the bar back to the starting position, fully extending your arms. Step:8 Repeat for the desired number of repetitions.",biceps,upper arms,cable,forearms
61GrD55,cable lying close-grip curl,https://cdn-exercisedb.vercel.app/api/v1/images/61GrD55.gif,"Step:1 Attach a straight bar to a low pulley cable machine. Step:2 Lie face up on a flat bench with your feet flat on the ground. Step:3 Grasp the bar with an underhand grip, hands shoulder-width apart. Step:4 Extend your arms fully, keeping your elbows close to your sides. Step:5 Keeping your upper arms stationary, curl the bar towards your chest by contracting your biceps. Step:6 Pause for a moment at the top, squeezing your biceps. Step:7 Slowly lower the bar back to the starting position, fully extending your arms. Step:8 Repeat for the desired number of repetitions.",biceps,upper arms,cable,forearms
Q2Eu1Ax,cable lying extension pullover (with rope attachment),https://cdn-exercisedb.vercel.app/api/v1/images/Q2Eu1Ax.gif,"Step:1 Attach a rope to a cable machine and set the pulley at the highest position. Step:2 Lie down on a bench with your head towards the cable machine. Step:3 Hold the rope with both hands and extend your arms straight up above your chest. Step:4 Keeping your arms straight, slowly lower the rope behind your head while maintaining control. Step:5 Pause for a moment at the bottom, then slowly raise the rope back to the starting position. Step:6 Repeat for the desired number of repetitions.",lats,back,cable,"triceps, shoulders"
lJJ7Yq8,cable lying fly,https://cdn-exercisedb.vercel.app/api/v1/images/lJJ7Yq8.gif,"Step:1 Attach the handles to the cables and lie flat on a bench with your feet flat on the ground. Step:2 Hold the handles with your palms facing each other and your arms extended straight above your chest. Step:3 Keeping a slight bend in your elbows, lower your arms out to the sides in a wide arc until you feel a stretch in your chest. Step:4 Pause for a moment, then squeeze your chest muscles to bring your arms back to the starting position. Step:5 Repeat for the desired number of repetitions.",pectorals,chest,cable,"deltoids, triceps"
uxJcFUU,cable lying triceps extension v. 2,https://cdn-exercisedb.vercel.app/api/v1/images/uxJcFUU.gif,"Step:1 Attach a rope handle to a low pulley cable machine. Step:2 Lie down on a flat bench facing up, with your head towards the cable machine. Step:3 Grasp the rope handle with both hands, palms facing each other, and extend your arms straight up over your chest. Step:4 Keeping your upper arms stationary, slowly lower the rope handle towards your forehead by bending your elbows. Step:5 Pause for a moment at the bottom, then extend your arms back up to the starting position. Step:6 Repeat for the desired number of repetitions.",triceps,upper arms,cable,shoulders
xLYSdtg,cable middle fly,https://cdn-exercisedb.vercel.app/api/v1/images/xLYSdtg.gif,"Step:1 Attach cables to both sides of a cable machine at chest height. Step:2 Stand in the center of the machine with one foot slightly in front of the other. Step:3 Grasp the handles with an overhand grip and extend your arms out to the sides. Step:4 Keep a slight bend in your elbows and maintain a slight forward lean. Step:5 Engage your chest muscles and bring your arms forward in a sweeping motion. Step:6 Pause for a moment at the center, then slowly return your arms back to the starting position. Step:7 Repeat for the desired number of repetitions.",pectorals,chest,cable,"deltoids, triceps"
